Date/Time,BIPV_OFFICE_1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy,BIPV_OFFICE_1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy,BIPV_OFFICE_2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy,BIPV_OFFICE_2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy
 01/01  00:10:00,5912863.738173813,0.0,10906168.257296396,0.0
 01/01  00:20:00,5988696.164454162,0.0,11024271.409200042,0.0
 01/01  00:30:00,6069099.036578316,0.0,11147643.018327672,0.0
 01/01  00:40:00,6149670.298073667,0.0,11271507.256550014,0.0
 01/01  00:50:00,6230431.455352303,0.0,11395434.327879416,0.0
 01/01  01:00:00,6311514.145445836,0.0,11519412.814660653,0.0
 01/01  01:10:00,6485395.870311796,0.0,11797880.39818173,0.0
 01/01  01:20:00,6661937.119875964,0.0,12080128.554801047,0.0
 01/01  01:30:00,6839835.923075977,0.0,12364488.946783386,0.0
 01/01  01:40:00,7018795.510418679,0.0,12650605.59236252,0.0
 01/01  01:50:00,7198706.601758564,0.0,12938283.381382896,0.0
 01/01  02:00:00,7379515.877603805,0.0,13227412.936187997,0.0
 01/01  02:10:00,7520177.88238915,0.0,13452806.43148529,0.0
 01/01  02:20:00,7660166.228427664,0.0,13677425.807428487,0.0
 01/01  02:30:00,7800254.229774804,0.0,13902193.243625795,0.0
 01/01  02:40:00,7940681.812800791,0.0,14127439.88105124,0.0
 01/01  02:50:00,8083433.819008927,0.0,14352293.37775061,0.0
 01/01  03:00:00,8224806.489729354,0.0,14578415.569784302,0.0
 01/01  03:10:00,8316865.343539659,0.0,14726489.81211318,0.0
 01/01  03:20:00,8406365.529663181,0.0,14871745.238972578,0.0
 01/01  03:30:00,8495266.898235038,0.0,15016207.338219745,0.0
 01/01  03:40:00,8584021.678139893,0.0,15160438.895464122,0.0
 01/01  03:50:00,8672765.555579877,0.0,15304636.069974363,0.0
 01/01  04:00:00,8761550.295251334,0.0,15448887.65033908,0.0
 01/01  04:10:00,8825630.948175725,0.0,15554219.931870813,0.0
 01/01  04:20:00,8889412.611639135,0.0,15658922.04171688,0.0
 01/01  04:30:00,8953056.166647596,0.0,15763383.593592526,0.0
 01/01  04:40:00,9016634.575061738,0.0,15867727.556632958,0.0
 01/01  04:50:00,9080185.888416171,0.0,15972019.459843986,0.0
 01/01  05:00:00,9143730.100422172,0.0,16076297.340033881,0.0
 01/01  05:10:00,9206550.327111779,0.0,16179879.080164505,0.0
 01/01  05:20:00,9269326.593274668,0.0,16283390.379291065,0.0
 01/01  05:30:00,9332085.405494234,0.0,16386883.34442172,0.0
 01/01  05:40:00,9394839.94325903,0.0,16490375.22124624,0.0
 01/01  05:50:00,9457597.91265713,0.0,16593874.636515623,0.0
 01/01  06:00:00,9520364.175686304,0.0,16697386.172741922,0.0
 01/01  06:10:00,9510484.563645044,0.0,16688403.834737767,0.0
 01/01  06:20:00,9499441.03892451,0.0,16676949.025897173,0.0
 01/01  06:30:00,9487760.171886073,0.0,16664632.58042156,0.0
 01/01  06:40:00,9475599.247562177,0.0,16651431.399284648,0.0
