Manufacturer,Model Number,Description,Safety Certification,Nameplate Pmax,PTC,Notes,Design Qualification Certification (Optional Submission),Performance Evaluation (Optional Submission),Family,Technology,A_c,N_s,N_p,BIPV,Nameplate Isc,Nameplate Voc,Nameplate Ipmax,Nameplate Vpmax,Average NOCT,γPmax,αIsc,βVoc,αIpmax,βVpmax,"IPmax, low","VPmax, low","IPmax, NOCT","VPmax, NOCT",Mounting,Type,Short Side,Long Side,Geometric Multiplier,P2/Pref,CEC Listing Date,Last Update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STC_Efficiency
CertainTeed,Apollo II - 74x,"74 W, 14 cell monocrystalline module, black backsheet, 600V max system Vdc",UL 1703,74,63.3,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,0.53,14,1,Y,9.58,9.9,9.27,8.0,61.8,-0.371,0.046,-0.273,,,1.81,7.58,7.32,6.7,,,,,,,2020-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.96%
CertainTeed,Apollo Tile II - 74x,"74 W, 14 cell monocrystalline module, black backsheet, 600V max system Vdc",UL 1703,74,64.6,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,0.54,14,1,Y,9.58,9.9,9.27,8.0,57.0,-0.371,0.046,-0.273,,,1.81,7.58,7.33,6.9,,,,,,,2020-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.70%
CertainTeed,Apollo II - 75x,"75 W, 14 cell monocrystalline module, black backsheet, 600V max system Vdc",UL 1703,75,64.2,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si53,14,1,Y,9.62,9.9,9.33,8.1,61.8,-0.371,0.046,-0.273,,,1.82,7.63,7.37,6.8,,,,,,,2020-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.15%
CertainTeed,Apollo Tile II - 75x,"75 W, 14 cell monocrystalline module, black backsheet, 600V max system Vdc",UL 1703,75,65.5,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,0.54,14,1,Y,9.62,9.9,9.33,8.1,57.0,-0.371,0.046,-0.273,,,1.82,7.63,7.37,6.9,,,,,,,2020-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89%
Heliene,20M-100GH,"100 W, 20 cell monocrystalline module, transparent pink greenhouse backsheet",UL 1703,100,85.2,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.62,20,1,Y,9.73,13.3,9.20,11.2,46.0,-0.587,0.017,-0.339,,,2.00,10.39,8.14,9.3,,,,,,,2020-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.17%
LUMA Resources,LRSS,60 W Polycrystalline Shingle,UL 1703,60,47.6,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,0.448,16,1,Y,8.11,9.80,7.55,8.08,58.3,-0.577700,0.040400,-0.365800,-0.050300,-0.514200,1.55,8.31,6.55,6.90,BIPV,Flat Plate,0.339,1.321,1.0,0.214111508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.39%
Miasole,FLEX-02 70N,70 W Thin Film CIGS Module,UL 1703,70,60.9,,No Information Submitted,No Information Submitted,Thin Film,Thin Film,1.610,60,1,Y,4.33,24.50,3.77,19.50,45.8,-0.506500,0.004700,-0.346600,-0.050000,-0.459000,0.76,18.42,2.93,18.10,BIPV,Flat Plate,0.990,1.626,1.0,0.199988571,,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.35%
Miasole,FLEX-02 220W,220 W CIGS Flexible Module,UL 1703,220,194.4,,No Information Submitted,No Information Submitted,Thin Film,Thin Film,1.610,60,1,Y,12.91,25.16,11.41,19.99,45.0,-0.541800,-0.045100,-0.340200,-0.104500,-0.432800,2.30,18.88,9.07,17.91,BIPV,Flat Plate,0.990,1.626,1.0,0.197381818,,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.66%
Miasole,FLEX-02-275N C132,275 W CIGS Flexible Module,UL 1703,275,253.6,,No Information Submitted,No Information Submitted,CIGS Thin Film,Thin Film,2.192,132,1,Y,4.52,89.00,3.89,70.70,43.2,-0.389300,-0.009700,-0.263400,-0.058900,-0.342300,0.51,60.74,2.99,65.65,BIPV,Flat Plate,0.370,5.923,1.0,0.112269733,,2018-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.55%
Miasole,FLEX-03 290W,"290 W, 144 cell CIGS thin film module, 1000V max system Vdc",UL 61730,290,250.8,,No Information Submitted,No Information Submitted,Thin Film,CIGS,2.21,72,2,Y,9.27,47.2,7.83,37.2,49.1,-0.519,-0.007,-0.355,,,1.60,32.33,6.26,33.3,,,,,,,2021-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.12%
