Manufacturer,Model Number,Description,Safety Certification,Nameplate Pmax,PTC,Notes,Design Qualification Certification (Optional Submission),Performance Evaluation (Optional Submission),Family,Technology,A_c,N_s,N_p,BIPV,Nameplate Isc,Nameplate Voc,Nameplate Ipmax,Nameplate Vpmax,Average NOCT,γPmax,αIsc,βVoc,αIpmax,βVpmax,"IPmax, low","VPmax, low","IPmax, NOCT","VPmax, NOCT",Mounting,Type,Short Side,Long Side,Geometric Multiplier,P2/Pref,CEC Listing Date,Last Update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STC_Efficiency
CertainTeed,Apollo II - 75x,"75 W, 14 cell monocrystalline module, black backsheet, 600V max system Vdc",UL 1703,75,64.2,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si53,14,1,Y,9.62,9.9,9.33,8.1,61.8,-0.371,0.046,-0.273,,,1.82,7.63,7.37,6.8,,,,,,,2020-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.15%
LUMA Resources,LRSS,60 W Polycrystalline Shingle,UL 1703,60,47.6,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,0.448,16,1,Y,8.11,9.80,7.55,8.08,58.3,-0.577700,0.040400,-0.365800,-0.050300,-0.514200,1.55,8.31,6.55,6.90,BIPV,Flat Plate,0.339,1.321,1.0,0.214111508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.39%
ONYX SOLAR ENERGY S.L.,ONYX G/G M06666,"291 W, 66 cell double glass monocrystalline module, 1000V max system rating",UL 1703,291,256.6,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,1.99,66,,Y,8.93,42,8.39,35,49.3,-0.46,0.02,-0.33,-0.02,-0.44,1.186,31.981,7.337,31.238,,,,,,,2019-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.62%
Rare Manufacturing,IW-40-B12345YZZ,40 W Mono c-Si BIPV roof panel,UL 1703,40,25.7,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-c-Si,0.341,16,1,Y,5.54,9.26,5.00,8.00,61.3,-0.898343,0.188080,-0.599112,0.198491,-0.753773,0.99,7.92,4.64,5.81,BIPV,Flat Plate,0.305,1.118,1.0,0.196739625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.73%
"SMILE SOLAR ENERGY CO.,LTD.",SSR220BG,"220 W, 60 cell BIPV double glass polycrystalline module, 1000V max system Vdc",TÜV Certified,220,,,No Information Submitted,No Information Submitted,Polycrystalline,Multi-c-Si,1.876,60,1,Y,8.21,36.53,7.64,28.88,,-0.423,0.088,-0.298,,-0.411,,,,,BIPV,Double Glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.73%
Polyrocks,JS-DJ-01-105,"105 W, perovskite (PVSK) double glass BIPV thin film module","IP68, Class C Fire Rating",105,,,No Information Submitted,No Information Submitted,Thin Film,Perovskite,0.72,,1,Y,1.73,80.30,1.62,66.1,42.3,-0.003,0.000,-0.001,,,,,,,BIPV,Double Glass,0.6,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6%
Shinsung E&G,SolarSkin White (250W),"250 W, monocrystalline BIPV SolarSkin colored module",KS C 8577,250,,,No Information Submitted,No Information Submitted,Monocrystalline,Mono-PERC,2.38,132,1,Y,6.91,45.90,6.33,39.50,45.0,-0.39,0.06,-0.30,,,,,,,BIPV,Colored Glass,1.134,2.098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.51%
