Date/Time,BIPV_OFFICE_1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy,BIPV_OFFICE_1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy,BIPV_OFFICE_2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Heating Energy,BIPV_OFFICE_2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Supply Air Total Cooling Energy
 01/01  00:10:00,5903100.818106035,0.0,10897947.749153588,0.0
 01/01  00:20:00,5979200.081515414,0.0,11016455.988527786,0.0
 01/01  00:30:00,6059781.717489526,0.0,11140126.995172944,0.0
 01/01  00:40:00,6140531.138922827,0.0,11264282.406246362,0.0
 01/01  00:50:00,6221464.029589362,0.0,11388492.25187039,0.0
 01/01  01:00:00,6302715.759700963,0.0,11512742.532723073,0.0
 01/01  01:10:00,6476645.489133341,0.0,11791382.746218411,0.0
 01/01  01:20:00,6653235.047658162,0.0,12073792.227814214,0.0
 01/01  01:30:00,6831178.377338796,0.0,12358309.08988674,0.0
 01/01  01:40:00,7010180.971143568,0.0,12644577.619745977,0.0
 01/01  01:50:00,7190134.496138115,0.0,12932403.73548985,0.0
 01/01  02:00:00,7370986.083368123,0.0,13221678.618989965,0.0
 01/01  02:10:00,7511687.996853758,0.0,13447207.633667378,0.0
 01/01  02:20:00,7651715.216670576,0.0,13671958.25300182,0.0
 01/01  02:30:00,7791842.192152648,0.0,13896854.03046907,0.0
 01/01  02:40:00,7932308.936001493,0.0,14122226.491326107,0.0
 01/01  02:50:00,8075050.176468588,0.0,14347231.817556974,0.0
 01/01  03:00:00,8216461.542496415,0.0,14573488.045697538,0.0
 01/01  03:10:00,8308581.977191532,0.0,14721713.209850611,0.0
 01/01  03:20:00,8398147.203375407,0.0,14867119.19074271,0.0
 01/01  03:30:00,8487115.593920391,0.0,15011730.830510523,0.0
 01/01  03:40:00,8575938.334691629,0.0,15156110.368285332,0.0
 01/01  03:50:00,8664750.763210334,0.0,15300453.779961418,0.0
 01/01  04:00:00,8753604.495639661,0.0,15444849.789935254,0.0
 01/01  04:10:00,8817756.12737032,0.0,15550324.466103036,0.0
 01/01  04:20:00,8881609.06577995,0.0,15655166.68429766,0.0
 01/01  04:30:00,8945324.154685782,0.0,15759766.365215778,0.0
 01/01  04:40:00,9008974.301730435,0.0,15864246.540593918,0.0
 01/01  04:50:00,9072597.51456253,0.0,15968672.76947955,0.0
 01/01  05:00:00,9136213.75103053,0.0,16073083.11524484,0.0
 01/01  05:10:00,9199101.724721845,0.0,16176791.623327892,0.0
 01/01  05:20:00,9261945.571282245,0.0,16280427.449179877,0.0
 01/01  05:30:00,9324771.853556378,0.0,16384042.95724365,0.0
 01/01  05:40:00,9387593.780123156,0.0,16487655.48974947,0.0
 01/01  05:50:00,9450419.064707864,0.0,16591273.735153854,0.0
 01/01  06:00:00,9513252.565959997,0.0,16694902.322680695,0.0
 01/01  06:10:00,9503402.189747345,0.0,16685995.024791436,0.0
 01/01  06:20:00,9492382.55326113,0.0,16674602.220083563,0.0
 01/01  06:30:00,9480727.7354288,0.0,16662348.251605496,0.0
 01/01  06:40:00,9468589.206518058,0.0,16649208.572094675,0.0
 01/01  06:50:00,9456245.42738815,0.0,16635437.64255561,0.0
 01/01  07:00:00,9443554.668953238,0.0,16621152.71344731,0.0
 01/01  07:10:00,9473171.31948616,0.0,16672386.507243145,0.0
 01/01  07:20:00,9503750.590062622,0.0,16725762.633878265,0.0
 01/01  07:30:00,9534334.283656416,0.0,16778581.342076454,0.0
 01/01  07:40:00,9564616.409582978,0.0,16831811.827298228,0.0
 01/01  07:50:00,9461604.327518456,0.0,16721631.653334832,0.0
 01/01  08:00:00,9414360.409546334,0.0,16661774.528990582,0.0
 01/01  08:10:00,9374946.557248112,0.0,16613007.746019168,0.0
 01/01  08:20:00,9347172.889234532,0.0,16576198.953273261,0.0
 01/01  08:30:00,9322435.737350194,0.0,16543177.399951223,0.0
 01/01  08:40:00,9176269.756392315,0.0,16357861.882402165,0.0
 01/01  08:50:00,9034845.970081156,0.0,16159164.73067037,0.0
 01/01  09:00:00,8899673.460048309,0.0,15960943.797312157,0.0
 01/01  09:10:00,8550297.678128611,0.0,15428115.999986732,0.0
 01/01  09:20:00,8235305.256359288,0.0,14927599.548998676,0.0
 01/01  09:30:00,7935327.545567389,0.0,14444063.277483733,0.0
 01/01  09:40:00,7663787.254145801,0.0,13995346.83435224,0.0
 01/01  09:50:00,7404006.809015798,0.0,13561540.22824579,0.0
 01/01  10:00:00,7153317.275025237,0.0,13135860.13238805,0.0
 01/01  10:10:00,6905004.5042360015,0.0,12717693.0221036,0.0
 01/01  10:20:00,6622887.014544733,0.0,12264166.672282303,0.0
 01/01  10:30:00,6373392.693423189,0.0,11840163.725506924,0.0
 01/01  10:40:00,6156891.59018483,0.0,11457911.599712875,0.0
 01/01  10:50:00,5940576.153228113,0.0,11096338.831614545,0.0
 01/01  11:00:00,5732919.274595331,0.0,10747106.858880825,0.0
 01/01  11:10:00,5530286.836420795,0.0,10407992.403463067,0.0
 01/01  11:20:00,5333779.448799852,0.0,10077864.16331191,0.0
 01/01  11:30:00,5144232.093858752,0.0,9756008.788661005,0.0
 01/01  11:40:00,4996310.151642602,0.0,9485103.27705535,0.0
 01/01  11:50:00,4839368.983662566,0.0,9207972.893293766,0.0
 01/01  12:00:00,4675827.154170325,0.0,8927764.519502088,0.0
 01/01  12:10:00,4617041.955634202,0.0,8824995.235062178,0.0
 01/01  12:20:00,4561731.579866073,0.0,8724572.333053578,0.0
 01/01  12:30:00,4506077.912135409,0.0,8623876.334204044,0.0
 01/01  12:40:00,4469890.224549055,0.0,8550112.847226294,0.0
 01/01  12:50:00,4422183.844451656,0.0,8465357.362487393,0.0
 01/01  13:00:00,4373531.15938032,0.0,8380248.825217276,0.0
 01/01  13:10:00,4335301.679346368,0.0,8309370.320979199,0.0
 01/01  13:20:00,4297905.340864815,0.0,8240774.575431221,0.0
 01/01  13:30:00,4264684.985990517,0.0,8169841.682536519,0.0
 01/01  13:40:00,4242797.8154585725,0.0,8117514.911814235,0.0
 01/01  13:50:00,4228603.977429989,0.0,8078792.078389689,0.0
 01/01  14:00:00,4220223.001742967,0.0,8050642.502147251,0.0
 01/01  14:10:00,4211449.877974379,0.0,8022739.761047066,0.0
 01/01  14:20:00,4206802.300172746,0.0,8002633.782399233,0.0
 01/01  14:30:00,4224155.37455403,0.0,8015468.530687379,0.0
 01/01  14:40:00,4232962.066046308,0.0,8020043.658437095,0.0
 01/01  14:50:00,4241655.689115607,0.0,8024221.929240162,0.0
 01/01  15:00:00,4252690.7645371435,0.0,8031595.825820931,0.0
 01/01  15:10:00,4322641.612509091,0.0,8125181.5467366045,0.0
 01/01  15:20:00,4395810.237596986,0.0,8233047.527539923,0.0
 01/01  15:30:00,4474964.445905246,0.0,8350185.049553899,0.0
 01/01  15:40:00,4558040.09996973,0.0,8463128.150489539,0.0
 01/01  15:50:00,4642441.962411787,0.0,8578408.244044209,0.0
 01/01  16:00:00,4730732.297564004,0.0,8699047.74511756,0.0
 01/01  16:10:00,4819306.391047108,0.0,8821992.093802411,0.0
 01/01  16:20:00,4908924.1859966405,0.0,8947134.538189515,0.0
 01/01  16:30:00,5000048.228522889,0.0,9075859.924315782,0.0
 01/01  16:40:00,5061182.306095492,0.0,9169090.963651579,0.0
 01/01  16:50:00,5113324.932831121,0.0,9249268.83262748,0.0
 01/01  17:00:00,5162720.836119879,0.0,9325880.868626177,0.0
 01/01  17:10:00,5208869.528034942,0.0,9399037.229692593,0.0
 01/01  17:20:00,5253421.8962077955,0.0,9471294.659679698,0.0
 01/01  17:30:00,5299377.934120585,0.0,9549307.412190383,0.0
 01/01  17:40:00,5328609.250244133,0.0,9603402.332796289,0.0
 01/01  17:50:00,5352313.372215869,0.0,9649007.457609903,0.0
 01/01  18:00:00,5370245.3028370505,0.0,9686397.006555406,0.0
 01/01  18:10:00,5398734.945749896,0.0,9738953.432969198,0.0
 01/01  18:20:00,5426350.078663143,0.0,9790469.56097028,0.0
 01/01  18:30:00,5453832.50101093,0.0,9841741.785937632,0.0
 01/01  18:40:00,5481111.786742444,0.0,9892848.464994138,0.0
 01/01  18:50:00,5508184.873808598,0.0,9943838.804379921,0.0
 01/01  19:00:00,5535062.068395791,0.0,9994737.505492935,0.0
 01/01  19:10:00,5552148.9533013515,0.0,10031147.077026982,0.0
 01/01  19:20:00,5569270.371876466,0.0,10067867.468963586,0.0
 01/01  19:30:00,5585997.084277727,0.0,10104117.067341141,0.0
 01/01  19:40:00,5602482.063272653,0.0,10140071.760042876,0.0
 01/01  19:50:00,5618758.131197576,0.0,10175753.246377608,0.0
 01/01  20:00:00,5634850.0335812885,0.0,10211172.042337691,0.0
 01/01  20:10:00,5659875.970922949,0.0,10260358.146554112,0.0
 01/01  20:20:00,5684752.849026023,0.0,10309321.819075234,0.0
 01/01  20:30:00,5709389.9355505295,0.0,10357904.942475596,0.0
 01/01  20:40:00,5733882.319839452,0.0,10406180.350033263,0.0
 01/01  20:50:00,5758237.482832078,0.0,10454153.199025843,0.0
 01/01  21:00:00,5782418.505977701,0.0,10502268.661060741,0.0
 01/01  21:10:00,5788218.811192866,0.0,10521443.098661296,0.0
 01/01  21:20:00,5794172.97343509,0.0,10540395.333489392,0.0
 01/01  21:30:00,5800261.985661956,0.0,10559126.46448003,0.0
 01/01  21:40:00,5806268.523006439,0.0,10577511.443382412,0.0
 01/01  21:50:00,5812175.861940268,0.0,10595526.624694532,0.0
